"","ts_year","group_name","t","t_cf","x1","x2","x3","x4","x5","x6","y","te_true"
"1",1900,1,0,1,4.03629442542877,2.40635618503504,0.76658566254375,0.557745775278873,17.5643227034624,16.4694750218777,49.1893527038295,54.2469103595633
"2",1901,1,0,1,6.21310942406125,1.13442063102125,-0.391483412572092,0.838641627635555,17.5156794333609,-22.1490433416022,10.3956706078225,25.1403395815802
"3",1902,1,0,1,4.40015055766381,0.0953030362118413,0.660641825019789,0.673426283598624,19.3215802020175,25.3839056997608,44.3623068612793,63.2322391325246
"4",1903,1,0,1,5.09926133114184,0.966669475618183,-0.0493989789395109,1.11822534033357,25.5260257883526,9.51533630279302,47.187638086195,60.7167060261851
"5",1904,1,0,1,5.01343793371474,3.34103163240165,0.240460919515455,0.606055452463804,19.4165347769579,23.5235594638068,68.7646063741303,57.7503267058847
"6",1905,1,0,1,4.34583752682317,0.171814245787156,0.22298970176307,0.453353627929486,23.4106260731035,14.8034355068082,39.4185392910118,46.9419578594327
"7",1906,1,1,0,3.54400902153805,0.637098471858949,0.621286029479285,0.216233494909579,9.15732411694554,37.9076984822753,108.581212097669,52.076970411571
"8",1907,1,1,0,3.69419779502685,-0.554449901573434,0.440753609537583,0.533882451065397,9.90143398017133,20.1406400277162,86.8357293831563,50.1038962147208
"9",1908,1,0,1,3.89500030416686,1.83479482402967,0.5084749351258,0.883236260150421,23.2726321557693,-2.96908201394615,35.0330867672861,36.5613459991383
"10",1909,1,1,0,4.46857812355586,1.30430855419829,0.942238824216135,0.676065428834399,8.36638564052242,-13.3123050083138,37.9923392748317,26.2241498876462
"11",1910,1,1,0,4.65626363501343,-0.394053107771149,0.851572384320174,0.718196855101141,14.0388518654243,-23.5567367023494,11.6960133817012,14.565166658759
"12",1911,1,1,0,3.89601433976661,-0.0399223312343387,0.647962795968984,-0.304036372090625,13.777758793398,-7.70923968232509,25.7251345192587,11.4012831407892
"13",1912,1,0,1,7.42816486542447,-0.113949245508315,0.931812934000349,0.448770054586385,21.6149306169819,15.0960065975094,39.579964230031,39.4615310064072
"14",1913,1,0,1,4.52607108866822,1.00691895858616,0.676042912553504,0.936672911157017,19.673185870487,0.638065226939741,32.3132195728851,36.8092528843245
"15",1914,1,1,0,4.25358310219226,1.5226984341894,0.578838475807554,0.910414974002024,10.4635171104281,32.4672599422522,130.023205497334,66.0551843997974
"16",1915,1,0,1,6.38827771651875,1.30807282543926,0.848904316921845,0.139494503402748,18.1475814484461,17.6321782854954,47.2082269824039,31.5182161573209
