"","ts_year","group_name","t","t_cf","x1","x2","x3","x4","x5","x6","y","te_true"
"1",1900,1,0,1,6.16387385533535,-0.751705567106977,0.25720750288013,0.573504217351551,20.9416199158354,-6.92661172618524,21.9877757499411,2.98491200200751
"2",1901,1,0,1,6.80451160970472,0.425797052500783,0.0522840716938597,0.685597125399562,20.5881411910544,-16.2683044917463,12.6531968998094,5.03699499056639
"3",1902,1,0,1,8.83662102268628,-0.30337262652818,0.910833872368473,0.303482033529628,14.4045983975429,24.657829862061,49.3848157799121,6.13869618992018
"4",1903,1,1,0,4.04053202438487,2.66616418110438,0.746507513665284,0.996414196191816,13.1164258498663,-18.5357518665813,18.9448116518718,7.4271076630994
"5",1904,1,0,1,6.58191578410186,1.89502398086622,0.891082119724505,1.08451567319277,22.0585790768494,-6.47266809378636,26.0035362643572,8.65492276880074
"6",1905,1,0,1,4.6860464181464,1.58343195568746,0.532965923562011,1.3542605069051,20.8575138688089,-7.349641506388,28.5205193692061,8.9960519181967
"7",1906,1,1,0,4.8308893318829,0.901403586056923,0.871925885814932,1.35087378834813,12.2441368116469,-10.4878492424946,25.0018194507106,8.07626180376349
"8",1907,1,1,0,3.31345902305937,1.90660314696358,0.373302224828563,0.666908924909225,5.59514194756312,-19.7652128838952,19.2488330200288,11.1951925797559
"9",1908,1,1,0,5.25865770555407,2.31990923890955,0.574644569658868,1.35014931633997,14.3919801717557,42.791855912018,95.3915064907893,8.68719494585898
"10",1909,1,1,0,4.2771016573264,1.80061348852291,0.970093941403437,0.635762361624854,15.4798584476856,28.6971156145041,57.1862242099135,4.23337264936248
"11",1910,1,0,1,6.44860271157384,-0.359323229514189,0.689687326777981,1.38728112376567,32.4972609040104,10.1130294836158,45.542222840804,5.75763432128498
"12",1911,1,0,1,4.43449872563188,0.473526831086359,0.528082175532322,1.45173081209752,16.8497869651553,-23.3891071555821,3.22661426100943,4.15744739109911
"13",1912,1,1,0,6.65633647783397,0.161400313771926,-0.961653950594442,1.65793174803408,12.7436358862752,4.86764797989802,44.0331503087576,7.58295987138939
"14",1913,1,0,1,6.84014728507852,-0.467407046573937,-2.26445119432187,1.24229873425614,24.8958175978571,5.6920624639276,42.3884405672675,2.94675753754464
"15",1914,1,0,1,4.79454769095828,1.43667810377924,-1.38372268214865,1.05096156093328,21.3634632749362,11.4914410444552,52.1225752399953,4.62653513714527
"16",1915,1,0,1,7.27384866537995,2.49441155153482,-0.805083339532177,1.57173224552513,19.0022395460146,-5.12289605455245,48.9446749625188,7.88936571853987
"17",1916,1,0,1,4.7358866110523,1.47443618674951,-2.26184388795873,-0.406948123785475,20.1144286630678,-40.5073639082456,-3.58782336603715,6.99947723466404
"18",1917,1,1,0,7.60140895885426,1.05497735423774,-2.46743258098053,-0.0552304350423008,10.5606160798651,19.9250976085501,59.6473774555961,8.73682798029943
"19",1918,1,0,1,4.02294677144237,-0.440991747898316,-0.510733141059,1.20233311761728,19.2560260367091,0.313101476731908,28.7691287979289,3.81768227219111
"20",1919,1,0,1,5.29512722548412,0.21581481021658,-2.39147484822086,-0.00658572589516142,17.3026424312318,3.56661246456467,37.0052916534514,5.05390125967796
"21",1920,1,0,1,4.06553841484881,2.68933640144475,-1.31081591635127,0.470801708731925,21.5382220913634,15.2492451911441,55.5509581115628,2.82541309027136
"22",1921,1,0,1,6.5047473251685,2.18029031124111,-1.30008035220687,0.614717659766498,15.5229305070713,32.1240501027767,73.728706709792,2.35580213519252
"23",1922,1,0,1,2.6725138290617,2.5364939789739,-2.37597183573922,-0.0434465004329068,22.0912495387199,8.05392175535306,41.0663081229727,2.09555553070705
"24",1923,1,1,0,5.6026866818371,1.85424551212562,-1.12158675319817,0.779660081502883,9.10301651009352,48.7934278207898,93.3129582361218,4.21557262909819
"25",1924,1,0,1,5.66254159930097,0.518636340657691,-1.98499858976413,0.6246986445189,17.1926179467577,-7.37815482008838,24.4961183146746,4.97279549366256
"26",1925,1,0,1,4.17202666264891,1.76120319743976,-1.22302938921477,-0.0198924555275947,32.5210006671016,35.7668975837951,71.6544864391721,6.27991372157796
"27",1926,1,0,1,6.29617245124212,1.36260216115078,-1.36249174857449,-0.0773856451799936,21.1009122698778,32.9486402408059,69.2375509914339,7.06413453347277
"28",1927,1,0,1,4.87272499370227,3.76299888249483,-1.23682744424275,0.310003727589448,23.1940710600603,10.6849201351856,61.5972259254688,3.47617257283328
"29",1928,1,0,1,4.98481360767065,0.362046552903139,-1.53921197580219,0.395631449671758,24.0312323497525,28.7452083664006,61.8682295200583,4.11516710243523
"30",1929,1,0,1,4.37702735357783,0.195231391327285,-1.9121376511636,0.570792012763369,24.3672415392162,25.7321983443069,59.2459043863806,7.94821462874219
"31",1930,1,0,1,6.80031235900039,-0.457900173746268,-2.90101198308115,0.651608686506431,17.4128505871664,37.246716400047,71.1097014475232,3.62178750168005
